employee_id,department_id,first_name,last_name,gender,date_of_birth,marital_status,distance_from_home,education_level,education_field,hire_date,job_role,job_level,base_salary,overtime_eligible,stock_option_level,total_working_years,num_companies_worked,business_travel,is_active
71,DPT-006,Jason,Erickson,Female,1999-01-01,Married,4,1,Medical,2018-01-01,Marketing Specialist,2,4052,True,2,5,1,Rarely,True
72,DPT-001,Sherri,Smith,Male,1998-01-01,Married,9,2,Life Sciences,2020-01-01,Sales Representative,1,4265,False,0,6,3,Rarely,False
73,DPT-001,Nancy,Watson,Male,1998-01-01,Divorced,2,1,Other,2021-01-01,Sales Representative,1,4157,True,1,7,6,Rarely,True
74,DPT-006,Leonard,Anderson,Male,2000-01-01,Single,10,1,Medical,2021-01-01,Marketing Coord,1,3400,False,0,2,1,Rarely,True
75,DPT-005,Diana,Powell,Male,1981-01-01,Single,9,2,Other,2022-01-01,CIO,5,20217,False,0,24,8,Rarely,True
76,DPT-005,Randall,Spence,Male,1993-01-01,Divorced,8,2,Other,2015-01-01,Senior Engineer,3,7168,False,1,10,5,Rarely,True
77,DPT-006,Robin,Willis,Female,1967-01-01,Married,6,3,Life Sciences,2016-01-01,Marketing Manager,4,13853,False,3,36,9,Frequently,True
78,DPT-001,Stephen,Smith,Female,1988-01-01,Divorced,25,4,Medical,2007-01-01,Senior Sales Exec,3,10251,True,1,16,1,Rarely,True
79,DPT-002,Joseph,May,Male,1996-01-01,Divorced,9,3,Medical,2021-01-01,Lab Technician,1,1993,False,1,6,6,Non-Travel,True
80,DPT-001,John,Jones,Male,1974-01-01,Divorced,18,4,Life Sciences,2016-01-01,Sales Executive,2,6897,True,2,7,1,Non-Travel,True
81,DPT-007,Anna,Higgins,Female,1980-01-01,Single,6,3,Medical,2003-01-01,Operations Analyst,2,4269,True,0,20,1,Rarely,True
82,DPT-005,Jose,Miles,Male,1987-01-01,Married,6,3,Life Sciences,2008-01-01,IT Support,1,3362,False,1,16,0,Rarely,True
83,DPT-002,Brenda,Holt,Female,2002-01-01,Single,1,1,Technical Degree,2021-01-01,Lab Technician,1,2112,True,0,2,1,Rarely,True
84,DPT-001,Rachael,Smith,Male,1982-01-01,Single,5,3,Life Sciences,2020-01-01,Sales Executive,2,7044,False,0,11,3,Rarely,True
85,DPT-002,Reginald,White,Female,1990-01-01,Divorced,1,5,Medical,2017-01-01,R&D Manager,4,16286,False,1,10,4,Rarely,True
86,DPT-002,Jeffrey,Bush,Female,1972-01-01,Married,3,3,Technical Degree,2021-01-01,Senior Researcher,3,13451,False,0,15,2,Rarely,True
87,DPT-005,Whitney,Crawford,Female,1992-01-01,Single,8,3,Life Sciences,2022-01-01,IT Support,1,1306,False,0,1,1,Rarely,False
88,DPT-005,William,Odonnell,Female,1981-01-01,Married,26,3,Marketing,2003-01-01,IT Manager,4,13506,False,1,23,5,Frequently,True
89,DPT-007,Christopher,Wyatt,Female,1976-01-01,Single,4,2,Life Sciences,2014-01-01,Operations Analyst,2,4212,True,0,9,1,Rarely,True
90,DPT-004,Brandon,Stewart,Male,1994-01-01,Single,9,5,Other,2020-01-01,Financial Clerk,1,3997,False,0,4,0,Rarely,True
91,DPT-001,Daniel,Massey,Male,1981-01-01,Married,2,5,Medical,2019-01-01,Sales Executive,2,6311,False,1,10,7,Non-Travel,True
92,DPT-005,Courtney,Becker,Female,1969-01-01,Divorced,11,4,Medical,2009-01-01,IT Manager,4,16657,False,1,26,3,Frequently,True
93,DPT-006,Laura,Hanson,Male,1988-01-01,Single,4,3,Technical Degree,2015-01-01,Senior Marketer,3,9443,True,0,9,0,Rarely,False
94,DPT-005,Robert,Henderson,Female,1993-01-01,Single,26,4,Marketing,2017-01-01,Software Engineer,2,6500,False,0,9,5,Frequently,False
95,DPT-006,Bryan,Melendez,Female,1989-01-01,Married,10,4,Life Sciences,2022-01-01,Marketing Coord,1,2210,True,1,1,1,Rarely,True
96,DPT-004,Patrick,Jones,Male,1968-01-01,Single,14,4,Medical,1999-01-01,CFO,5,18175,False,0,36,8,Rarely,True
97,DPT-004,Wendy,Brown,Female,1968-01-01,Single,2,3,Life Sciences,2018-01-01,Finance Manager,4,16656,True,0,30,2,Rarely,True
98,DPT-003,Allison,Jones,Female,1975-01-01,Married,1,4,Life Sciences,2020-01-01,HR Manager,4,16023,False,1,21,7,Rarely,True
99,DPT-001,Tasha,Liu,Male,1993-01-01,Divorced,1,3,Life Sciences,2018-01-01,Sales Representative,1,2088,False,1,6,0,Rarely,True
100,DPT-001,Michelle,Patel,Male,1987-01-01,Single,7,3,Life Sciences,2019-01-01,Sales Representative,1,2084,False,0,15,2,Rarely,True
101,DPT-001,Alexander,Bennett,Male,1995-01-01,Single,24,3,Life Sciences,2019-01-01,Sales Representative,1,1960,True,0,6,5,Rarely,False
102,DPT-005,Jennifer,Parker,Female,1987-01-01,Divorced,8,3,Technical Degree,2006-01-01,Senior Engineer,3,10500,False,3,17,1,Rarely,True
103,DPT-002,Erin,Parker,Male,1975-01-01,Married,2,1,Marketing,2021-01-01,Research Scientist,2,8202,False,0,12,3,Rarely,True
104,DPT-004,Amanda,Dillon,Male,1996-01-01,Married,2,4,Technical Degree,2018-01-01,Financial Clerk,1,2121,False,1,6,1,Rarely,True
105,DPT-007,Joseph,Lewis,Male,2002-01-01,Single,5,1,Medical,2021-01-01,Operations Asst,1,3158,False,0,3,1,Rarely,True
106,DPT-002,Danielle,Garza,Male,1988-01-01,Married,25,3,Technical Degree,2010-01-01,Senior Researcher,3,11395,False,0,16,3,Rarely,True
107,DPT-003,Daniel,Davis,Male,1973-01-01,Single,22,5,Medical,1991-01-01,HR Manager,4,13804,True,0,32,1,Frequently,True
108,DPT-006,Ryan,Chavez,Male,1988-01-01,Married,10,3,Medical,2010-01-01,Senior Marketer,3,10390,False,0,15,9,Rarely,False
109,DPT-002,Shawn,Yang,Female,1976-01-01,Married,2,2,Other,1997-01-01,R&D Manager,4,17448,True,1,26,1,Rarely,True
110,DPT-001,Stephanie,Morgan,Female,1983-01-01,Married,2,3,Medical,2022-01-01,Sales Executive,2,3278,False,1,20,6,Rarely,True
111,DPT-002,Nancy,Green,Female,1997-01-01,Divorced,23,3,Life Sciences,2020-01-01,Lab Technician,1,2923,False,2,3,1,Rarely,True
112,DPT-001,Jose,Evans,Male,1997-01-01,Divorced,16,4,Medical,2020-01-01,Sales Representative,1,2367,True,1,5,2,Rarely,False
113,DPT-007,Vincent,Turner,Male,1989-01-01,Single,19,3,Marketing,2018-01-01,Operations Analyst,2,5222,True,0,9,8,Non-Travel,False
114,DPT-006,Guy,Anderson,Female,1971-01-01,Single,2,3,Life Sciences,2021-01-01,Marketing Coord,1,3252,False,0,6,7,Rarely,True
115,DPT-005,Rita,Lopez,Male,1996-01-01,Married,11,1,Life Sciences,2018-01-01,IT Support,1,2005,False,0,6,0,Rarely,True
116,DPT-007,Monica,Obrien,Male,1988-01-01,Divorced,4,2,Other,2022-01-01,Operations Asst,1,2000,False,1,1,1,Rarely,True
117,DPT-006,Kenneth,Campbell,Female,1979-01-01,Married,1,5,Marketing,2022-01-01,Marketing Specialist,2,4531,False,1,11,7,Frequently,True
118,DPT-001,Danielle,Smith,Female,1997-01-01,Married,25,1,Life Sciences,2015-01-01,Sales Representative,1,2885,False,1,8,1,Rarely,True
119,DPT-007,Chelsea,Prince,Male,1996-01-01,Married,1,1,Technical Degree,2021-01-01,Operations Analyst,2,4299,False,1,6,5,Frequently,True
120,DPT-004,Eric,Russo,Male,1972-01-01,Married,4,4,Life Sciences,2013-01-01,Financial Clerk,1,2430,True,3,18,9,Rarely,False
121,DPT-006,Kathryn,Jackson,Male,1995-01-01,Married,2,3,Life Sciences,2021-01-01,Marketing Coord,1,3792,True,1,2,1,Frequently,True
122,DPT-007,Amber,Bowen,Male,1995-01-01,Married,1,3,Technical Degree,2020-01-01,Operations Asst,1,3005,False,1,5,3,Frequently,False
123,DPT-002,Kimberly,Logan,Female,1974-01-01,Married,3,2,Medical,2020-01-01,Research Scientist,2,4997,False,1,10,4,Rarely,True
124,DPT-001,Alyssa,Castillo,Female,1970-01-01,Single,1,1,Medical,2009-01-01,Sales Executive,2,8694,False,0,18,7,Rarely,True
125,DPT-002,Aaron,Perez,Male,1971-01-01,Married,3,3,Medical,2018-01-01,Senior Researcher,3,7986,True,0,28,2,Rarely,True
126,DPT-003,Mario,Howard,Male,1975-01-01,Single,1,4,Medical,2018-01-01,HR Manager,4,17533,False,0,27,2,Non-Travel,True
127,DPT-006,Andrew,Miller,Male,1965-01-01,Single,10,4,Medical,1986-01-01,Marketing Manager,4,14455,False,0,38,0,Rarely,True
128,DPT-007,Sarah,Moon,Male,1998-01-01,Married,19,2,Marketing,2022-01-01,Operations Asst,1,2391,True,3,1,1,Rarely,False
129,DPT-001,Natasha,Fleming,Male,1988-01-01,Divorced,14,4,Other,2019-01-01,Sales Representative,1,3661,True,1,5,1,Rarely,False
130,DPT-004,Marie,Fischer,Female,1982-01-01,Divorced,1,3,Marketing,2014-01-01,Financial Analyst,2,3938,False,1,10,0,Frequently,True
131,DPT-003,Kyle,Sullivan,Female,1995-01-01,Married,2,4,Marketing,2015-01-01,HR Generalist,2,4769,True,0,8,1,Rarely,True
132,DPT-002,Brian,Collins,Male,1985-01-01,Married,9,3,Marketing,2021-01-01,Lab Technician,1,3028,False,1,3,0,Rarely,True
133,DPT-001,Natalie,Camacho,Male,1982-01-01,Married,5,5,Medical,2019-01-01,Sales Representative,1,2139,True,0,7,2,Rarely,True
134,DPT-002,Stacey,Crawford,Male,1991-01-01,Married,19,3,Life Sciences,2019-01-01,Senior Researcher,3,9771,False,1,10,3,Rarely,True
135,DPT-007,Christopher,Turner,Female,1970-01-01,Single,1,1,Medical,2009-01-01,Operations Analyst,2,8056,False,0,18,7,Rarely,True
136,DPT-002,Todd,Harris,Male,1973-01-01,Married,2,4,Medical,2015-01-01,R&D Director,5,18551,True,1,29,2,Rarely,True
137,DPT-004,Chad,Montes,Female,1998-01-01,Single,4,2,Life Sciences,2018-01-01,Financial Analyst,2,4471,True,0,5,1,Rarely,True
138,DPT-005,Kathleen,Sellers,Male,1988-01-01,Married,17,4,Life Sciences,2016-01-01,Software Engineer,2,9370,True,3,15,3,Rarely,True
139,DPT-002,Katie,Jones,Male,1989-01-01,Single,3,1,Life Sciences,2017-01-01,Research Scientist,2,7648,False,0,7,0,Frequently,True
140,DPT-007,David,Craig,Male,1969-01-01,Married,5,2,Medical,2019-01-01,COO,5,20138,False,1,24,4,Rarely,True
141,DPT-007,Thomas,Smith,Male,2001-01-01,Divorced,5,3,Life Sciences,2019-01-01,Operations Asst,1,2239,True,1,4,1,Rarely,True
142,DPT-002,Andrea,Kelly,Male,1975-01-01,Divorced,7,3,Marketing,2021-01-01,Research Scientist,2,5550,False,3,15,4,Rarely,True
143,DPT-004,Joseph,Brooks,Female,1979-01-01,Married,2,1,Life Sciences,2013-01-01,Financial Clerk,1,2031,False,1,10,1,Rarely,True
144,DPT-002,Monique,Adams,Male,1990-01-01,Married,2,3,Human Resources,2018-01-01,Lab Technician,1,3729,False,1,5,1,Rarely,True
145,DPT-002,Rodney,Duffy,Male,1973-01-01,Married,9,3,Life Sciences,2022-01-01,Lab Technician,1,2261,False,0,8,4,Rarely,True
146,DPT-001,Jason,Barnes,Male,1968-01-01,Married,2,3,Medical,2022-01-01,VP of Sales,5,18447,False,3,34,8,Rarely,True
147,DPT-005,Amber,Flores,Female,1998-01-01,Single,26,1,Medical,2017-01-01,Software Engineer,2,6006,False,0,6,1,Rarely,True
148,DPT-004,Jessica,Briggs,Male,1976-01-01,Married,1,3,Technical Degree,2017-01-01,Financial Clerk,1,3573,False,1,17,7,Rarely,True
149,DPT-001,James,Bailey,Female,1969-01-01,Married,2,4,Technical Degree,2019-01-01,Senior Sales Exec,3,13079,False,1,16,9,Rarely,True
150,DPT-002,Larry,Tapia,Male,1992-01-01,Divorced,6,4,Medical,2016-01-01,Research Scientist,2,5207,False,2,13,4,Rarely,True
151,DPT-007,Wanda,Walls,Female,1985-01-01,Married,10,3,Medical,2005-01-01,Senior Analyst,3,13251,False,1,20,3,Rarely,True
152,DPT-002,Debra,Parsons,Female,1971-01-01,Single,2,3,Life Sciences,2021-01-01,Lab Technician,1,3221,False,0,6,7,Rarely,True
153,DPT-001,Samuel,Diaz,Male,1997-01-01,Single,29,2,Medical,2021-01-01,Sales Executive,2,5139,False,0,7,8,Non-Travel,False
154,DPT-004,Zachary,Jackson,Female,1976-01-01,Divorced,2,4,Life Sciences,2020-01-01,Finance Manager,4,16688,False,3,29,6,Rarely,True
155,DPT-007,David,Wilson,Female,1995-01-01,Single,1,2,Life Sciences,2016-01-01,Operations Asst,1,2224,True,0,10,7,Rarely,False
156,DPT-002,Jeffrey,Pierce,Male,1988-01-01,Married,7,1,Life Sciences,2022-01-01,Lab Technician,1,2507,False,1,1,1,Rarely,True
157,DPT-005,Matthew,Murphy,Female,1989-01-01,Single,9,3,Medical,2015-01-01,Senior Engineer,3,8815,False,0,9,1,Rarely,True
158,DPT-006,Brianna,Mcdowell,Male,1987-01-01,Divorced,3,2,Life Sciences,2018-01-01,Marketing Specialist,2,6680,False,1,13,6,Rarely,True
159,DPT-002,Jerry,Roman,Male,1982-01-01,Divorced,9,4,Life Sciences,2018-01-01,Lab Technician,1,2387,False,2,5,1,Rarely,True
160,DPT-005,Jeffrey,Brown,Male,1993-01-01,Married,29,4,Technical Degree,2019-01-01,Senior Engineer,3,9404,False,1,9,3,Rarely,True
161,DPT-002,Chad,Ray,Female,1986-01-01,Divorced,10,1,Life Sciences,2018-01-01,Lab Technician,1,2758,True,2,6,0,Rarely,True
162,DPT-005,Crystal,Torres,Female,1985-01-01,Married,1,3,Technical Degree,2008-01-01,Senior Engineer,3,13826,False,1,15,1,Rarely,True
163,DPT-005,Jeremy,Mercado,Male,1970-01-01,Single,6,3,Life Sciences,2021-01-01,Software Engineer,2,2425,False,0,19,2,Rarely,True
164,DPT-004,Rebecca,Leon,Female,1992-01-01,Single,1,4,Life Sciences,2022-01-01,Financial Clerk,1,1306,False,0,1,1,Frequently,False
165,DPT-001,Michele,Jones,Female,1994-01-01,Divorced,1,3,Medical,2020-01-01,Sales Representative,1,2861,True,3,5,6,Rarely,False
166,DPT-006,Chad,Jackson,Female,1986-01-01,Divorced,10,4,Life Sciences,2022-01-01,Marketing Specialist,2,6910,True,3,8,2,Rarely,True
167,DPT-002,John,Bolton,Female,1979-01-01,Married,1,5,Marketing,2022-01-01,Research Scientist,2,4877,False,1,11,7,Frequently,True
168,DPT-001,Elizabeth,Krause,Male,1990-01-01,Single,10,4,Marketing,2013-01-01,Sales Executive,2,5338,False,0,10,1,Rarely,True
169,DPT-001,Jason,Rivera,Male,1967-01-01,Single,24,2,Life Sciences,2019-01-01,Sales Representative,1,2705,False,0,5,1,Rarely,False
170,DPT-005,David,Aguirre,Female,1967-01-01,Married,11,5,Marketing,2023-01-01,Software Engineer,2,5124,False,1,6,4,Rarely,True
171,DPT-005,Selena,Franco,Female,1974-01-01,Single,11,4,Marketing,2018-01-01,Software Engineer,2,4431,False,0,8,3,Rarely,True
172,DPT-001,Ashley,Dudley,Female,1972-01-01,Single,3,3,Medical,2016-01-01,Sales Manager,4,13404,False,0,21,3,Rarely,True
173,DPT-004,Thomas,Rodriguez,Female,1996-01-01,Single,8,3,Medical,2017-01-01,Financial Clerk,1,3289,False,0,6,1,Rarely,True
174,DPT-002,Kristen,Murray,Male,2000-01-01,Single,12,2,Other,2018-01-01,Lab Technician,1,2622,False,0,5,1,Rarely,True
175,DPT-005,Lindsey,Chang,Male,1985-01-01,Married,1,4,Other,2017-01-01,IT Support,1,3027,True,1,7,0,Frequently,True
176,DPT-001,James,Thompson,Female,1992-01-01,Married,7,4,Marketing,2020-01-01,Senior Sales Exec,3,10005,False,2,9,2,Frequently,True
177,DPT-005,Collin,Medina,Male,1981-01-01,Single,2,1,Medical,2021-01-01,IT Support,1,2638,True,0,8,5,Frequently,True
178,DPT-002,Ryan,Dunlap,Female,1971-01-01,Married,25,4,Medical,2014-01-01,R&D Manager,4,14251,False,0,31,3,Frequently,True
179,DPT-007,Rodney,Davis,Female,2005-01-01,Single,1,3,Life Sciences,2023-01-01,Operations Asst,1,1605,False,0,0,1,Non-Travel,True
180,DPT-001,Stuart,Robinson,Male,1990-01-01,Married,8,4,Life Sciences,2013-01-01,Sales Representative,1,3213,False,1,14,6,Rarely,True
181,DPT-002,Jessica,Patel,Male,1992-01-01,Divorced,3,2,Medical,2019-01-01,Lab Technician,1,3170,True,1,4,1,Non-Travel,True
182,DPT-001,Emily,Blevins,Male,1992-01-01,Single,9,2,Medical,2020-01-01,Sales Representative,1,2312,True,0,4,0,Non-Travel,False
183,DPT-007,Tracey,Davis,Male,1971-01-01,Divorced,29,4,Life Sciences,2014-01-01,Operations Asst,1,3581,False,2,16,2,Non-Travel,True
184,DPT-007,Corey,Snow,Female,1986-01-01,Married,21,2,Medical,2018-01-01,Operations Asst,1,2967,False,1,10,5,Frequently,True
185,DPT-002,Richard,Cannon,Male,1971-01-01,Married,8,4,Medical,2015-01-01,Research Scientist,2,4884,False,0,11,2,Rarely,False
